Vol	Year	Month	Title	SubTitle	Author	Words	file
108	2021	4	BHQ News	New Book, New Plaque, New Website			
108	2021	4	The Baptist Church Archives Queensland 2012-2020		David Parker		
107	2020	11	Heritage Plaque Number 6	North East Baptist Church	Editor		
107	2020	11	Midbar	The Dream that Died	David Parker		
107	2020	11	My First One Hundred Days…		Dr Pamela Condie OAM		
107	2020	11	New Book on the Way—Baptist Camping in Queensland		Editor		
107	2020	11	Baptist Heritage Queensland Annual — Meeting News		Editor		
107	2020	11	Secretary's Annual Report — 2020		Bill Hughes		
107	2020	11	Archives Report — Highlights		Editor		
106	2020	8	Changeover at the Archives		Editor		
106	2020	8	Public Advocacy – Why would Baptists in Australia bother?	A brief report from Australia	David Parker		
106	2020	8	Baptists in Queensland and the Spanish ‘Flu'	How did they cope in 1919?	David Parker		
105	2020	4	News & Notes	Research Success; Archive Staffing; New Book: Baptists in the 'Never Never'	Editorial		
105	2020	4	All the Way:	‘God’s Good Hand	Rev Dr Stan W Nickerson		
104	2019	12	End of an Era by Eric Kopittke		Editorial		
104	2019	12	Baptist Heritage Qld and Archives - Annual Reports		Editor		
104	2019	12	All the Way: ‘Faith Seeking Understanding’		David Parker		
103	2019	8	‘The Gardener’ and the Silver Salver		Bill Hughes		
103	2019	8	Stanthorpe—thirty years to plant a church!  Part 2		David Parker		
103	2019	8	Warwick Baptist Church		David Parker and Bill Hughes		
102	2019	4	Vale—John Lane		Editor		
102	2019	4	Stanthorpe—thirty years to plant a church!  Part 1		David Parker		
102	2019	4	‘All the Way’—E J ‘Uncle Eddie’ Free		Editor		
101	2018	12	News and Notes	Essay Prize Presentation	Editor		
101	2018	12	Chas Sankey Fraser	optometrist and Baptist	Eric Kopittke		
101	2018	12	Allora Baptist Church 1950-70		David Parker		
101	2018	12	BHQ Annual Reports 2018		Editor		
100	2018	8	News and Notes	QB Forum Number 100	Editor		
100	2018	8	BHQ 7th Heritage Essay Prize Entry 2018		Greg Beaumont		
99	2018	4	News and Notes		Editor		
99	2018	4	Another woman who made a difference - Mrs Irvine of Nundah		Bill Hughes		
99	2018	4	Moore Park Sunday School and church		Valerie Dieckmann		
99	2018	4	The origins of the Chinchilla Baptist Church (Darling Downs Project)		David Parker		
98	2017	12	Hertiage Bus Tour				
98	2017	12	Fortesque Street Church 1865-1876-1889		Bill Hughes		
98	2017	12	All the Way!		Gerhard Bargen		
98	2017	12	BHQ, Archives - Annual Reports				
97	2017	8	Plaque Number 3 Dedication				
97	2017	8	First for BHQ-Heritage Bus Tour				
97	2017	8	Resources for Compiling a Baptist Church History		David Parker		
97	2017	8	‘All the way’	Rev Dr S W Solomon (2)			
97	2017	8	Qld Baptists, the Census and NCLS				
